"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","PURWOKERTO",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","SEMARANG",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","SOLO",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg4","YOGYAKARTA",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","DENPASAR",90.48,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","JEMBER",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","KEDIRI",90.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","MADIUN",93.75,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","MADURA",95.83,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","MALANG",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","NTB",93.10,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","NTT",85.37,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","PASURUAN",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","SIDOARJO",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","SINGARAJA",95.24,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","SURABAYA SELATAN",100.00,"2025-09-17",9
"FFM-WHF-TTR Fulfillment Guarantee Compliance","reg5","SURABAYA UTARA",100.00,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 01",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 02",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 03",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 04",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 05",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 06",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg","REGIONAL 07",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg4","KUDUS",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg4","MAGELANG",,"2025-09-17",9
"ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam","reg4","PEKALONGAN",,"2025-09-17",9
